2055704027 2104600977 568720563
34310330 249338414 1187237514
577594089 1244735675 122583601
1277029783 1374734533 1050106447
291738614 1210104802 340013990
207567294 1591455034 1238173614
1803668242 228024630 167519138
312257544 1675494424 800197704
434440444 1454054132 519393500
1442518999 432555909 350082703
12361498 558882126 1094555626
1383104854 2024244226 1845005318
1829869937 1621478483 1849976057
1924511442 250815606 1364159842
119280131 660026889 739156507
1284224930 491071206 2125821106
2022144949 1699443487 587290973
55228432 1106257968 1845524624
654367046 1313377234 1990959990
392951779 1042737065 572372731
98818604 1809288836 1376430988
169269817 2021494443 2015603713
615451095 2011438469 87120015
1752361468 592756212 670185948
502179328 2144072192 1902368256
1506785851 1202335409 95390739
189344346 1278574350 1672379690
1004773652 1421796156 1635297716
1617930588 1252719636 1544877116
236792242 1409907990 2033350466
1825651896 53196328 1068180088
968745983 288926717 1604781047
1562155398 819711122 1596286390
133243330 966092102 302395346
338582165 387977151 1428107069
94644393 966097403 649817585
710294586 993834158 1717837322
160760411 521799441 1683952947
1305603329 1450624771 1248285961
997351796 332080220 1606249748
1303678407 1994697045 235076607
1555545357 1395930919 818128245
757711557 1245857871 655743213
313536243 1728285913 1105438347
1592927715 1119449513 970282235
1402469552 2004350480 1551360560
642831134 1175484762 1267428366
279561414 1992511058 849079030
1775919089 494936019 2018729849
758593932 1093774500 1882785260
366284004 1315120812 299201540
1744778503 1829019413 1713560895
1711015586 949359590 1034435506
374293455 113036141 1604543047
1470447454 1179500058 285424206
1591680926 1010523866 327949454
2116239261 973520599 1827355781
355751080 340065784 986118632
1631600401 1657912627 1705523097
1020653361 632475027 1051420857
43214754 1868314342 83535026
1565743825 1925910643 1758736729
1143139694 970377290 1976457438
1410260743 1530109205 783275839
1966903016 1855827128 2022770216
1083546673 1576129683 1852341689
339576584 1136694552 1616494408
1769467419 713214545 1238982387
502198168 1231343304 720792664
2021849378 1655368550 325501490
762124303 542525485 691001479
1563807000 1689872200 359937496
642685161 198494907 1849253937
894367241 368435739 603760209
710526369 1152274659 518910633
557362749 300354231 1080827941
788881124 1811160236 1619547652
996333081 138510923 454002401
1042855162 1869881070 1833589962
1471784660 771814524 2122243444
1486260129 291804899 1259390121
638748544 2042074752 61260672
1453087845 1614419247 903692173
1965849599 1535407101 109730807
496476893 2074339479 1535293893
552386477 577978119 643874069
15699402 278440286 1529347098
1910511229 1813857143 130992741
1075591645 2050076055 472647877
1431191038 1038662138 1941188078
948213576 1087751640 140071304
2071477076 767341052 993138164
394350828 393212612 957601868
874440486 58897778 1073356886
895832556 1914435012 1276633420
2090121662 796667194 1001293742
1089264636 516068340 1882962908
718555634 1248779734 1025677698
1551283908 1277699148 147090660
987039329 920654627 935541097
1345708304 1370596144 407169424
680572237 788471783 753164213
535759445 1780621055 1566924029
1831238636 1130329028 1038244684
272424701 263429367 1276237541
307309304 1642823912 648708792
206208143 560887213 1509449991
1835158996 368765308 728546420
1563347046 1609718066 2030635926
341698814 639089402 759247086
131645289 1458781755 1125431985
1770231181 1377288359 921584117
179630279 283497045 84309759
1846238040 628757000 41301528
392093429 621911263 202626717
1981198712 331093096 1335639352
1056920943 309133389 932446439
1087465852 737164404 1078244700
579198906 1196138286 1964039562
1582367977 534515387 1850682417
1480601696 958435616 1015133024
1649097977 1675278059 1652237505
1045961038 1414941674 1223484350
746960583 1012409429 1499294975
828572021 362677343 1161366813
2106365237 232439711 1764703965
1382714945 92318403 994377801
1396459172 1079563244 351697860
1628311069 826747479 1043103493
1236767613 1889778295 207761253
505654048 92995936 302056480
1591101516 1691277540 122718892
1715419129 1790355435 1745811393
198568664 240763016 1804943768
474006673 424889779 430762265
2041167101 704263927 887465189
1101236505 1308859211 89510369
1681564115 1317201273 1359065195
1717255339 1874638337 87499267
1197349628 1897287924 607580892
2130088755 269924761 1776102603
2067376966 485687762 1487603062
